Name,Branch,Year,Email,Interests
,,second,invalid-email.com,
Jessica Murray,MECH,5,andrewarnold@hotmail.com,"Robotics, Web Dev, App Dev"
Julie Mcdowell,IT,3,dennischad@scott.net,AI/ML
Charles Hughes,CSE,4,fmora@sanders.com,App Dev
Frank Green,MBA,2,bakerkristin@walker.net,"Cybersecurity, App Dev, O'Connor"
Justin Johnson,MECH,1,riddlethomas@yahoo.com,"张伟, Cybersecurity, Jürgen"
Lance Bailey,MBA,5,ylane@smith.org,"DSA, Web Dev"
Maria Cox,LAW,5,nicole45@yahoo.com,"😊, App Dev, AI/ML, Jürgen"
Robert Hodge,IT,4,jessicarodriguez@hotmail.com,"Web Dev, Blockchain, AI/ML, 😊"
Brendan Rodriguez,LAW,5,qkerr@richardson.com,"😊, Web Dev, App Dev, Robotics"
Amy House,LAW,2,timothymaynard@hotmail.com,
Erin Powell,ECE,1,marcusreyes@hotmail.com,"Cloud, O'Connor"
Harold Martin,MBA,4,alexis49@yahoo.com,"O'Connor, Web Dev, Blockchain"
Andrew Rivas,CIVIL,4,megansmith@gmail.com,Web Dev
Elizabeth Barnett,IT,2,connie08@jacobson.biz,"Cloud, O'Connor"
Michael Gardner,LAW,2,invalid-email.com,"AI/ML, Blockchain, 张伟, App Dev"
Melanie Sandoval,CIVIL,4,jason84@carr.com,"Jürgen, Cloud"
Dawn Martin,CSE,second,taylorstacey@castillo.com,Cloud
Cheryl Walker,CSE,5,brittanynavarro@berger-bryant.com,App Dev
Sarah Collins,ECE,1,rharris@gmail.com,"App Dev, DSA, Blockchain"
张伟,IT,2,debragraves@ingram.net,
Robert Faulkner DDS,CSE,second,oconnellkaren@nunez-coleman.com,"App Dev, DSA, Cloud, O'Connor"
Thomas Carter,MBA,1,gonzalesnatalie@floyd-lee.com,"😊, Jürgen, O'Connor, Blockchain"
Mary Clark,IT,4,maxwelltiffany@yahoo.com,"Robotics, App Dev, 😊"
Annette James,IT,2,timothymartinez@mcfarland.org,"App Dev, Jürgen"
,MBA,4,jacobchandler@perez-clark.org,App Dev
Karen Evans,MECH,1,anthony84@gmail.com,张伟
Tracy Beltran,EEE,4,holdermichael@gmail.com,"O'Connor, Robotics"
Tracy Wolfe,ECE,2,thomasnathan@gmail.com,"😊, Jürgen"
Paula Palmer,IT,3,williamsbrendan@powers.org,"DSA, Robotics, Cybersecurity, App Dev"
Mariah Campbell,,1,invalid-email.com,
Nicholas Reyes,ECE,1,aprilmills@wilson.com,"Jürgen, DSA, O'Connor, Cloud"
Lauren Gallegos,CSE,3,ericstevens@hotmail.com,"Jürgen, Robotics, 😊, DSA"
Nicholas Ayala,CSE,second,zroman@gmail.com,"Blockchain, App Dev, Jürgen, 张伟"
Sarah Flowers,IT,2,gbentley@gmail.com,"Blockchain, DSA, AI/ML, Cloud"
Gary Rodriguez,CIVIL,second,peterclark@brown-rodriguez.info,"Jürgen, O'Connor, App Dev"
Jeremy Gomez,MECH,2,zblevins@hotmail.com,Web Dev
Lisa Gomez,IT,second,leachgeorge@rosales.info,"AI/ML, 😊, App Dev"
Martin Oconnor,IT,3,mbarr@yahoo.com,Web Dev
Mark Bowen,ECE,4,christopher15@hotmail.com,"Cybersecurity, Jürgen, DSA"
O'Connor,EEE,4,burkeraymond@jenkins.com,
Pamela Meyer,LAW,1,debra82@maldonado-robinson.com,"Jürgen, Cloud"
Crystal Stewart,EEE,second,ricky38@garcia.com,"DSA, O'Connor, Cloud, AI/ML"
Ashlee Bentley,CIVIL,second,lorithompson@yahoo.com,"张伟, 😊"
Pamela Davis,MECH,4,brettmiller@west-wade.biz,"AI/ML, Web Dev"
Michelle Williams,EEE,3,invalid-email.com,"😊, App Dev"
Robert Tucker,EEE,2,ejoseph@lopez-ramirez.biz,"张伟, Cloud, DSA, AI/ML"
Ian Jackson,ECE,3,richard23@mcdonald-lopez.com,"😊, 张伟, Cloud"
Renee Swanson,MBA,second,lisaharris@roberts.com,"Cybersecurity, Cloud, O'Connor"
Nathaniel Collins,EEE,3,jasonhill@gmail.com,"张伟, Cloud, DSA"
,CSE,1,cynthia64@yahoo.com,
Jessica Gould,CSE,1,theresa21@hotmail.com,"Blockchain, DSA, 😊, Web Dev"
David Martinez,CIVIL,1,jamesgross@yahoo.com,"Cybersecurity, Web Dev, Blockchain, 张伟"
Debbie Graham,EEE,1,evansbrian@mayer.com,😊
Elaine Proctor,ECE,4,hardinlori@graves.com,App Dev
Randy Dudley,MBA,5,christiannguyen@yahoo.com,"Cybersecurity, DSA, Blockchain, Jürgen"
Jennifer Anderson,MBA,2,bturner@yahoo.com,Jürgen
Christine Jones,LAW,4,jamesmarshall@yahoo.com,"Cloud, DSA, 😊, App Dev"
Steven Vargas,CSE,5,dawn71@gmail.com,"Cloud, 😊"
Sharon Jones,CSE,5,elliottdouglas@yahoo.com,Robotics
Jürgen,,5,invalid-email.com,
Angie Mckee,CSE,4,savannah31@gmail.com,O'Connor
Cheryl Hammond,MECH,3,hmiller@yahoo.com,"Jürgen, Cybersecurity, O'Connor, Web Dev"
Jason Smith,EEE,5,torresricky@yahoo.com,"AI/ML, DSA"
Brandy Perez,MECH,5,bfrey@cole.net,"Web Dev, Jürgen"
Tyrone Rush,ECE,5,tara70@walker.com,"😊, App Dev"
Lindsay Love,ECE,1,pearsoncharles@yahoo.com,"Cybersecurity, 😊, AI/ML"
Tommy Mcguire,MBA,3,gpeterson@edwards.com,"AI/ML, App Dev, Blockchain, Robotics"
David Miranda,MBA,second,rowestacey@mccall-ruiz.com,"DSA, Web Dev, Robotics"
Daniel Rowland,ECE,4,bailey14@bell-aguilar.net,O'Connor
Jack Martinez,LAW,1,ctaylor@west.com,
Michael Perez,IT,5,beverlygrant@james-johnson.com,"Jürgen, Cloud"
Wendy Bullock,EEE,second,davisderek@klein.org,"App Dev, 张伟, DSA, Cybersecurity"
Desiree Reynolds,ECE,4,kennedyscott@yahoo.com,"Cloud, AI/ML, Jürgen"
Jason Hall,EEE,1,wheelerjoshua@singleton.info,"Cybersecurity, Robotics, Web Dev, App Dev"
,IT,3,invalid-email.com,Web Dev
Russell Alvarado,LAW,1,rhiggins@leach.org,Robotics
Cynthia Morrison,ECE,4,holly67@burns.net,Robotics
Mark Nelson,IT,5,julie52@khan-smith.com,"Robotics, 😊"
Miranda Kirk,ECE,5,campbelltaylor@henderson.com,Web Dev
Jürgen,EEE,second,stephenabbott@hotmail.com,
Stephen Fernandez,ECE,2,whitney49@yahoo.com,"DSA, Blockchain"
Jessica Pena,CIVIL,2,ohuber@chambers.org,App Dev
Brittney Smith,MECH,second,jamesberry@lee.org,"张伟, Cybersecurity, DSA, 😊"
Ashley Roberts,EEE,1,bernardedward@yahoo.com,"Cloud, App Dev, Robotics"
Mandy Mcguire,CIVIL,3,pamelacarter@boyd-torres.biz,"Cybersecurity, Blockchain, Jürgen"
Mark Ochoa,IT,4,franciskathleen@harris.biz,Robotics
Megan Chandler,MBA,1,erica93@gmail.com,"Blockchain, Robotics, 😊, Jürgen"
Tina Brown,EEE,5,plyons@martinez-harris.com,"😊, Blockchain, App Dev, 张伟"
Lisa Hill,IT,second,winterssamuel@hotmail.com,"Web Dev, 😊, DSA, 张伟"
Robert Smith,,2,invalid-email.com,
David King,CIVIL,5,jacob19@hotmail.com,"Cybersecurity, Blockchain, 😊, Jürgen"
Mark Stanley,CIVIL,2,isolis@gmail.com,"😊, App Dev, Robotics, Blockchain"
Tammy Tanner,CIVIL,4,patrickhughes@yahoo.com,Cybersecurity
Kenneth Duncan,LAW,2,fbryant@hotmail.com,"张伟, Cloud, App Dev"
Kimberly Hill,MECH,4,vhill@richards-simon.com,Blockchain
Jennifer Miller,MECH,1,andreajohnston@gmail.com,"Jürgen, Robotics"
Donna Allen,CSE,1,yrobinson@hotmail.com,"AI/ML, Web Dev, DSA"
Samantha Watts,ECE,4,gwilliams@ward.net,"AI/ML, Web Dev"
Christina Burns,EEE,1,hoffmanlynn@yahoo.com,"Blockchain, App Dev, Robotics"
,MBA,4,hopkinspamela@tran.com,
Kenneth Brady,CIVIL,5,sarah31@walker.com,"Blockchain, Cloud, Web Dev"
Randy Mcdonald,EEE,4,smithanthony@yahoo.com,"Cloud, App Dev"
